	doi	pmid	pmcid	id
86	10.1590/1519-6984.260090	35613214		MED35613214
87	10.1177/10105395211073282	35016584		MED35016584
88	10.1016/j.ymthe.2023.01.020	36736314	PMC10014259	MED36736314
89	10.1186/s12876-022-02562-w	36404304	PMC9677650	MED36404304
90	10.1155/2022/4448075	36440365	PMC9691313	MED36440365
91	10.18097/pbmc20236901019	36857424		MED36857424
92	10.1016/j.biortech.2022.127275	35537646		MED35537646
93	10.1016/j.ygeno.2022.110379	35526740		MED35526740
94	10.3389/fpubh.2023.1125150	37089476	PMC10116418	MED37089476
95	10.1371/journal.pone.0277539	36378666	PMC9665396	MED36378666
96	10.1063/5.0109107	36389648	PMC9653270	MED36389648
97	10.7759/cureus.31328	36514657	PMC9733805	MED36514657
98	10.1039/d2cc01382g	35389410		MED35389410
99	10.1007/s11033-023-08246-2	36662451	PMC9853489	MED36662451
100	10.1097/md.0000000000031699	36451406	PMC9704871	MED36451406
101	10.2147/ppa.s380393	36345291	PMC9636885	MED36345291
102	10.1007/s12010-022-03918-4	35451795		MED35451795
103	10.1177/09544119221090725	35445619		MED35445619
104	10.1007/s10895-022-02943-0	35441923		MED35441923
105	10.21315/mjms2022.29.5.9	36474535	PMC9681000	MED36474535
106	10.1016/j.ijfoodmicro.2022.109679	35439680		MED35439680
107	10.3390/nano12213789	36364564	PMC9658239	MED36364564
108	10.1186/s13048-022-01043-8	36271409	PMC9585716	MED36271409
109	10.1007/s00330-022-08743-1	35380229		MED35380229
110	10.1016/j.jcyt.2022.02.008	35365413		MED35365413
111	10.26355/eurrev_202301_31061	36734703		MED36734703
112	10.1155/2022/3514984	36276288	PMC9586750	MED36276288
113	10.1097/bsd.0000000000001315	35344518		MED35344518
114	10.1007/s11010-022-04373-9	35122564		MED35122564
115	10.1155/2022/3071665	36277975	PMC9584698	MED36277975
116	10.1155/2022/1645204	36277875	PMC9584667	MED36277875
117	10.1177/20503121221126687	36267495	PMC9577080	MED36267495
118	10.1155/2022/5823276	36277878	PMC9584675	MED36277878
119	10.1155/2022/9252319	36299602	PMC9590117	MED36299602
120	10.1155/2022/2061340	36285161	PMC9588353	MED36285161
121	10.1155/2022/2549845	36277977	PMC9581632	MED36277977
122	10.1155/2022/9899135	36277890	PMC9581674	MED36277890
123	10.1155/2022/4537021	36276280	PMC9581612	MED36276280
124	10.1155/2022/6264474	36275890	PMC9581689	MED36275890
125	10.1093/bbb/zbac035	35266506		MED35266506
126	10.1155/2022/9204119	36277976	PMC9586791	MED36277976
127	10.1155/2022/7667770	36276847	PMC9584672	MED36276847
128	10.1155/2022/1257260	36285163	PMC9588366	MED36285163
129	10.1155/2022/5249910	36277981	PMC9584714	MED36277981
130	10.1155/2022/1815417	36277987	PMC9581624	MED36277987
131	10.1155/2022/4272525	36276274	PMC9586780	MED36276274
132	10.1155/2022/7489023	36267840	PMC9578810	MED36267840
133	10.1155/2022/8640999	36277979	PMC9584718	MED36277979
134	10.1155/2022/9896935	36267839	PMC9578817	MED36267839
135	10.1155/2022/5133754	36267095	PMC9578845	MED36267095
136	10.1155/2022/8975435	36254138	PMC9569210	MED36254138
137	10.1155/2022/4805009	36254306	PMC9569194	MED36254306
138	10.1155/2022/2435114	36262285	PMC9576423	MED36262285
139	10.1016/j.scr.2022.102764	35358830		MED35358830
140	10.1155/2022/3444740	36248419	PMC9568294	MED36248419
141	10.1155/2022/2295044	36248434	PMC9560823	MED36248434
142	10.1155/2022/8441676	36254233	PMC9569205	MED36254233
143	10.1155/2022/2384730	36262167	PMC9576387	MED36262167
144	10.1155/2022/3949443	36254307	PMC9569195	MED36254307
145	10.1155/2022/9190241	36246977	PMC9556175	MED36246977
146	10.1155/2022/5922048	36246475	PMC9568331	MED36246475
147	10.1155/2022/2711938	36246989	PMC9553481	MED36246989
148	10.1155/2022/8721654	36226247	PMC9550491	MED36226247
149	10.1001/jamanetworkopen.2022.35721	36279138	PMC9593235	MED36279138
150	10.1155/2022/9211621	36225195	PMC9550497	MED36225195
151	10.7759/cureus.29931	36348833	PMC9634333	MED36348833
152	10.1155/2022/3709823	36248415	PMC9568296	MED36248415
153	10.1155/2022/5477432	36248432	PMC9553459	MED36248432
154	10.1155/2022/5719974	36225174	PMC9550441	MED36225174
155	10.1155/2022/7962225	36246473	PMC9556178	MED36246473
156	10.1155/2022/7918596	36212964	PMC9546697	MED36212964
157	10.1016/j.oraloncology.2021.105615	34742003		MED34742003
158	10.1155/2022/7562990	36212723	PMC9537017	MED36212723
159	10.1155/2022/1890823	36212952	PMC9536896	MED36212952
160	10.1155/2022/3880687	36212178	PMC9536995	MED36212178
161	10.1155/2022/4263002	36225756	PMC9550417	MED36225756
162	10.1155/2022/5358923	36225191	PMC9550442	MED36225191
163	10.1155/2022/4096566	36213027	PMC9534691	MED36213027
164	10.1155/2022/4278048	36212711	PMC9534624	MED36212711
165	10.1155/2022/9715704	36212173	PMC9534713	MED36212173
166	10.3390/jcm11247511	36556132	PMC9785879	MED36556132
167	10.1155/2022/6946051	36212971	PMC9546678	MED36212971
168	10.1155/2022/5665921	36212946	PMC9546690	MED36212946
169	10.1155/2022/3505228	36246970	PMC9553482	MED36246970
170	10.1155/2022/4918294	36246555	PMC9553557	MED36246555
171	10.1155/2022/9461377	36213026	PMC9536926	MED36213026
172	10.1097/md.0000000000030136	36254046	PMC9575731	MED36254046
173	10.1155/2022/8354429	36213025	PMC9536923	MED36213025
174	10.1155/2022/1420639	36199553	PMC9529435	MED36199553
175	10.1155/2022/6105804	36213036	PMC9534675	MED36213036
176	10.1155/2022/6098799	36246960	PMC9553493	MED36246960
177	10.1155/2022/3300449	36213010	PMC9534703	MED36213010
178	10.1155/2022/8471976	36203502	PMC9532103	MED36203502
179	10.1016/j.jhsa.2022.01.028	35277301		MED35277301
180	10.1155/2022/9755391	36200093	PMC9529433	MED36200093
181	10.1155/2022/7903838	36200080	PMC9529412	MED36200080
182	10.1155/2022/6202457	36212978	PMC9534633	MED36212978
183	10.1155/2022/8418279	36193324	PMC9525765	MED36193324
184	10.1155/2022/7605593	36193387	PMC9525802	MED36193387
185	10.1039/d1nr05353a	35174834		MED35174834
186	10.1155/2022/4521003	36199549	PMC9527399	MED36199549
187	10.7759/cureus.29455	36299945	PMC9587750	MED36299945
188	10.1155/2022/5067402	36193130	PMC9526631	MED36193130
189	10.1155/2022/4877708	36199773	PMC9529424	MED36199773
190	10.1155/2022/5693994	36199755	PMC9529516	MED36199755
191	10.1155/2022/7080678	36193155	PMC9525770	MED36193155
192	10.1155/2022/9010354	36193058	PMC9526632	MED36193058
193	10.1155/2022/4655939	36248404	PMC9553463	MED36248404
194	10.1016/j.jbc.2022.101775	35257748		MED35257748
195	10.1155/2022/2191294	36193498	PMC9525741	MED36193498
196	10.1155/2022/6847073	36193490	PMC9526577	MED36193490
197	10.1155/2022/6997221	36177056	PMC9514949	MED36177056
198	10.1007/s11356-022-23026-4	36125680	PMC9485794	MED36125680
199	10.1155/2022/7312960	36193145	PMC9526670	MED36193145
200	10.1155/2022/8365565	36193305	PMC9526586	MED36193305
201	10.1155/2022/2380879	36157214	PMC9507726	MED36157214
202	10.1155/2022/7469970	36159753	PMC9507648	MED36159753
203	10.1155/2022/6974909	36164450	PMC9509227	MED36164450
204	10.1155/2022/7232638	36164449	PMC9509219	MED36164449
205	10.1155/2022/3704201	36159755	PMC9492415	MED36159755
206	10.1155/2022/4710520	36159763	PMC9492429	MED36159763
207	10.1155/2022/3343946	36159751	PMC9507658	MED36159751
208	10.1155/2022/3859292	36148402	PMC9489398	MED36148402
209	10.1371/journal.pone.0271107	36099268	PMC9469945	MED36099268
210	10.1155/2022/8583924	36159767	PMC9499808	MED36159767
211	10.1155/2022/1447388	36158890	PMC9499779	MED36158890
212	10.1155/2022/3290479	36157240	PMC9499744	MED36157240
213	10.1155/2022/8955326	36133163	PMC9484904	MED36133163
214	10.1155/2022/9883831	36133436	PMC9484931	MED36133436
215	10.1155/2022/8493528	36133171	PMC9484911	MED36133171
216	10.1155/2022/3830522	36159757	PMC9492420	MED36159757
217	10.1155/2022/3895555	36159766	PMC9492432	MED36159766
218	10.1155/2022/3498622	36159761	PMC9492421	MED36159761
219	10.1155/2022/4140022	36159570	PMC9492378	MED36159570
220	10.1155/2022/6096326	36157205	PMC9492348	MED36157205
221	10.1007/s13577-022-00680-x	35190954		MED35190954
222	10.1155/2022/7724675	36124243	PMC9482507	MED36124243
223	10.1155/2022/4165839	36124071	PMC9482528	MED36124071
224	10.1155/2022/4897660	36124251	PMC9482520	MED36124251
225	10.1155/2022/8627822	36124246	PMC9482524	MED36124246
226	10.1155/2022/4259499	36124166	PMC9482476	MED36124166
227	10.1155/2022/7986850	36133160	PMC9484920	MED36133160
228	10.1155/2022/7769653	36177154	PMC9492428	MED36177154
229	10.1155/2022/4186092	36159769	PMC9492405	MED36159769
230	10.1155/2022/7770955	36132545	PMC9484946	MED36132545
231	10.1155/2022/4806045	36120155	PMC9481348	MED36120155
232	10.1155/2022/6106503	36118668	PMC9477588	MED36118668
233	10.1155/2022/8503239	36124170	PMC9482482	MED36124170
234	10.1155/2022/6886590	36124013	PMC9482474	MED36124013
235	10.1155/2022/8981618	36124174	PMC9482480	MED36124174
236	10.1155/2022/8043674	36119920	PMC9473892	MED36119920
237	10.1155/2022/5332101	36118082	PMC9477637	MED36118082
238	10.1155/2022/5017227	36124247	PMC9482521	MED36124247
239	10.1155/2022/1949344	36118839	PMC9477634	MED36118839
240	10.1155/2022/3356772	36105518	PMC9467728	MED36105518
241	10.1155/2022/1495807	36105931	PMC9467720	MED36105931
242	10.1155/2022/1891937	36105516	PMC9467710	MED36105516
243	10.1155/2022/5772509	36105481	PMC9467750	MED36105481
244	10.1155/2022/2652916	36119922	PMC9473891	MED36119922
245	10.1155/2022/3002353	36119929	PMC9481330	MED36119929
246	10.1007/s11095-022-03169-2	35166995		MED35166995
247	10.1155/2022/4070060	36110574	PMC9470333	MED36110574
248	10.1155/2022/3181133	36106030	PMC9467810	MED36106030
249	10.1155/2022/8480106	36105935	PMC9467709	MED36105935
250	10.1155/2022/6546357	36105510	PMC9467698	MED36105510
251	10.1155/2022/3341038	36105484	PMC9467737	MED36105484
252	10.1177/09544119221075941	35130775		MED35130775
253	10.1155/2022/3611540	36111167	PMC9470309	MED36111167
254	10.1155/2022/2819029	36111062	PMC9470299	MED36111062
255	10.1155/2022/4305886	36110572	PMC9470351	MED36110572
256	10.1155/2022/4069778	36110192	PMC9470315	MED36110192
257	10.1155/2022/4310841	36093392	PMC9458378	MED36093392
258	10.1155/2022/7492655	36089968	PMC9458389	MED36089968
259	10.1097/md.0000000000030281	36086694	PMC9646652	MED36086694
260	10.1002/jmv.28726	37185864		MED37185864
261	10.1155/2022/8426460	36105512	PMC9467711	MED36105512
262	10.1155/2022/3046554	36093394	PMC9462997	MED36093394
263	10.1155/2022/5152911	36093408	PMC9462988	MED36093408
264	10.1111/iwj.14101	36717766		MED36717766
265	10.1155/2022/5029663	36072470	PMC9444446	MED36072470
266	10.1155/2022/9633527	36105451	PMC9444445	MED36105451
267	10.1155/2022/4594090	36089960	PMC9451967	MED36089960
268	10.1155/2022/9991523	36105549	PMC9452970	MED36105549
269	10.1155/2022/3794354	36089949	PMC9451981	MED36089949
270	10.1155/2022/8319082	36105551	PMC9441379	MED36105551
271	10.7754/clin.lab.2021.210317	35142183		MED35142183
272	10.1007/s11010-022-04355-x	35020102		MED35020102
273	10.1097/md.0000000000030695	36181094	PMC9524878	MED36181094
274	10.1155/2022/9350211	36065307	PMC9440780	MED36065307
275	10.1155/2022/3640589	36065262	PMC9440785	MED36065262
276	10.1155/2022/2536849	36072407	PMC9444429	MED36072407
277	10.1155/2022/4948943	36090892	PMC9452933	MED36090892
278	10.1155/2022/8935743	36089957	PMC9451975	MED36089957
279	10.1155/2022/1074174	36089952	PMC9451974	MED36089952
280	10.1155/2022/4798768	36089947	PMC9451961	MED36089947
281	10.1155/2022/8145438	36060150	PMC9439913	MED36060150
282	10.1155/2022/7738233	36105554	PMC9444470	MED36105554
283	10.1155/2022/5750647	36072406	PMC9444404	MED36072406
284	10.1155/2022/6790665	36082155	PMC9448598	MED36082155
285	10.1155/2022/5666067	36065379	PMC9440828	MED36065379
286	10.1155/2022/5613407	36065368	PMC9440777	MED36065368
287	10.1155/2022/7341504	36065264	PMC9440629	MED36065264
288	10.1155/2022/9751136	36062170	PMC9439921	MED36062170
289	10.1155/2022/9300278	36072770	PMC9441380	MED36072770
290	10.1155/2022/6254551	36072474	PMC9441362	MED36072474
291	10.1155/2022/4540176	36052030	PMC9427233	MED36052030
292	10.1016/j.nepr.2022.103303	35121205		MED35121205
293	10.1155/2022/8314838	36051495	PMC9427240	MED36051495
294	10.1155/2022/9681769	36051478	PMC9427279	MED36051478
295	10.1155/2022/7588680	36101523	PMC9440852	MED36101523
296	10.1007/s00335-022-09944-1	35092479		MED35092479
297	10.1155/2022/8135282	36046442	PMC9424016	MED36046442
298	10.1155/2022/8634134	36052351	PMC9427278	MED36052351
299	10.1016/j.asmr.2022.06.017	36312713	PMC9596908	MED36312713
300	10.1155/2022/6440464	36046079	PMC9423953	MED36046079
301	10.1155/2022/1771617	36045946	PMC9424039	MED36045946
302	10.1155/2022/7550792	36034615	PMC9417780	MED36034615
303	10.1007/s11010-022-04367-7	35072845		MED35072845
304	10.1155/2022/8523763	36035845	PMC9410920	MED36035845
305	10.1155/2022/2868135	36034965	PMC9410796	MED36034965
306	10.1155/2022/1227308	36034960	PMC9410781	MED36034960
307	10.1155/2022/4624912	36034945	PMC9410775	MED36034945
308	10.1155/2022/1055160	36034940	PMC9410776	MED36034940
309	10.1155/2022/8645183	36033578	PMC9410799	MED36033578
310	10.1155/2022/6311419	36046438	PMC9420588	MED36046438
311	10.1155/2022/9172719	36035816	PMC9410936	MED36035816
312	10.1002/anie.202112400	34936187		MED34936187
313	10.1155/2022/4803072	36035853	PMC9402347	MED36035853
314	10.1155/2022/8770996	36034968	PMC9402311	MED36034968
315	10.1155/2022/4164824	36046456	PMC9420628	MED36046456
316	10.1155/2022/7514898	36046451	PMC9420596	MED36046451
317	10.1155/2022/6339184	36045971	PMC9420601	MED36045971
318	10.1155/2022/5048172	36045948	PMC9420638	MED36045948
319	10.1002/vetr.897	34505667		MED34505667
320	10.1155/2022/5861928	36017394	PMC9398771	MED36017394
321	10.1155/2022/7904293	36017149	PMC9398850	MED36017149
322	10.1155/2022/4087406	36016689	PMC9398769	MED36016689
323	10.1155/2022/2604114	36034961	PMC9417776	MED36034961
324	10.1155/2022/4543851	36017467	PMC9398733	MED36017467
325	10.1155/2022/4580027	36017457	PMC9398716	MED36017457
326	10.1155/2022/5436772	36017247	PMC9398808	MED36017247
327	10.1155/2022/4670963	36017242	PMC9398802	MED36017242
328	10.1155/2022/8490473	36017152	PMC9398843	MED36017152
329	10.1155/2022/5622901	36035847	PMC9410945	MED36035847
330	10.1155/2022/4160637	36034962	PMC9410798	MED36034962
331	10.1371/journal.pone.0269739	35981003	PMC9387841	MED35981003
332	10.1155/2022/2257304	36034942	PMC9402342	MED36034942
333	10.1016/j.jebdp.2022.101691	35718436		MED35718436
334	10.1155/2022/3601545	36017466	PMC9398722	MED36017466
335	10.1155/2022/2156128	36017456	PMC9398721	MED36017456
336	10.1155/2022/5112537	36017451	PMC9398719	MED36017451
337	10.1155/2022/9914173	36017391	PMC9398764	MED36017391
338	10.1155/2022/2009894	36017381	PMC9398765	MED36017381
339	10.1155/2022/3883459	36017246	PMC9398823	MED36017246
340	10.1155/2022/6062450	36034944	PMC9410778	MED36034944
341	10.2147/prbm.s371787	36003831	PMC9394520	MED36003831
342	10.1371/journal.pone.0272717	35980967	PMC9387796	MED35980967
343	10.1155/2022/1042533	35996646	PMC9392600	MED35996646
344	10.1155/2022/4989248	36072629	PMC9402320	MED36072629
345	10.1155/2022/3374091	35990856	PMC9391105	MED35990856
346	10.7759/cureus.28036	36120283	PMC9473675	MED36120283
347	10.1155/2022/7650937	36016688	PMC9398732	MED36016688
348	10.1155/2022/1411371	36016678	PMC9398795	MED36016678
349	10.1155/2022/8555417	35990851	PMC9388234	MED35990851
350	10.1155/2022/5000501	35990551	PMC9388312	MED35990551
351	10.1155/2022/8165950	36017027	PMC9388286	MED36017027
352	10.1155/2022/8180013	35996402	PMC9392635	MED35996402
353	10.1155/2022/8935906	35990166	PMC9385339	MED35990166
354	10.1371/journal.pone.0272776	35947632	PMC9365195	MED35947632
355	10.1155/2022/5483155	35990829	PMC9385302	MED35990829
356	10.1155/2022/6976654	35991133	PMC9391157	MED35991133
357	10.1089/jicm.2021.0254	35263177		MED35263177
358	10.1155/2022/2802828	35983006	PMC9381206	MED35983006
359	10.1155/2022/9248972	35983250	PMC9381288	MED35983250
360	10.1007/s11356-022-18575-7	35022977		MED35022977
361	10.1155/2022/2344946	35990853	PMC9388236	MED35990853
362	10.1155/2022/8799586	35990112	PMC9388261	MED35990112
363	10.1155/2022/2554581	36042982	PMC9377989	MED36042982
364	10.1155/2022/5606697	35978998	PMC9377873	MED35978998
365	10.1155/2022/1393177	35978647	PMC9377929	MED35978647
366	10.1155/2022/8246761	35978643	PMC9377874	MED35978643
367	10.1155/2022/5016967	35979011	PMC9377900	MED35979011
368	10.1155/2022/5054511	35979006	PMC9377898	MED35979006
369	10.1155/2022/8309505	35979001	PMC9377895	MED35979001
370	10.1155/2022/6293095	35978641	PMC9377908	MED35978641
371	10.1155/2022/9343951	35978626	PMC9377904	MED35978626
372	10.1155/2022/2495024	35978591	PMC9377861	MED35978591
373	10.1155/2022/2113856	35990828	PMC9385283	MED35990828
374	10.1155/2022/4247782	35990820	PMC9385280	MED35990820
375	10.1155/2022/9165744	35990133	PMC9385331	MED35990133
376	10.1155/2022/7812218	35990840	PMC9391117	MED35990840
377	10.1007/s12550-021-00448-6	35023019		MED35023019
378	10.1007/s11356-021-17917-1	34993788		MED34993788
379	10.1155/2022/2794225	36016670	PMC9385355	MED36016670
380	10.1155/2022/3937375	35990538	PMC9385305	MED35990538
381	10.1155/2022/6808648	35991150	PMC9388287	MED35991150
382	10.1155/2022/7799111	35990850	PMC9388235	MED35990850
383	10.1155/2022/7971976	35990835	PMC9388239	MED35990835
384	10.1155/2022/4156312	35990821	PMC9388230	MED35990821
385	10.1155/2022/9330699	35990125	PMC9388242	MED35990125
386	10.1155/2022/2282870	35990116	PMC9388249	MED35990116
387	10.1155/2022/2560053	35983252	PMC9381266	MED35983252
388	10.1155/2022/7625739	35983008	PMC9381196	MED35983008
389	10.1155/2022/8750394	36003077	PMC9375702	MED36003077
390	10.1155/2022/2208636	36043149	PMC9377937	MED36043149
391	10.1155/2022/6364769	35979055	PMC9377939	MED35979055
392	10.1155/2022/4065886	35979010	PMC9377867	MED35979010
393	10.1155/2022/6836966	35979000	PMC9377897	MED35979000
394	10.1155/2022/2371549	35978905	PMC9377841	MED35978905
395	10.2147/ijn.s375908	35974873	PMC9376004	MED35974873
396	10.1155/2022/2158181	36051255	PMC9410997	MED36051255
397	10.1155/2022/8112175	36034625	PMC9410807	MED36034625
398	10.1155/2022/3771144	35966749	PMC9374555	MED35966749
399	10.1155/2022/9676074	35979009	PMC9377872	MED35979009
400	10.1155/2022/7237777	35978999	PMC9377881	MED35978999
401	10.1155/2022/3362374	35978994	PMC9377903	MED35978994
402	10.1155/2022/8490760	35978889	PMC9377845	MED35978889
403	10.1155/2022/1434410	35966742	PMC9374550	MED35966742
404	10.1155/2022/1213133	35983005	PMC9381201	MED35983005
405	10.1155/2022/4641600	35982995	PMC9381210	MED35982995
406	10.1155/2022/2775433	35982735	PMC9381216	MED35982735
407	10.1155/2022/9371497	35966724	PMC9371851	MED35966724
408	10.1155/2022/2337447	35968243	PMC9371880	MED35968243
409	10.1155/2022/2550686	35968238	PMC9371885	MED35968238
410	10.1155/2022/9190292	35966252	PMC9371862	MED35966252
411	10.1155/2022/5228603	35965767	PMC9371814	MED35965767
412	10.1155/2022/2931686	36042981	PMC9377995	MED36042981
413	10.1155/2022/8619275	35979397	PMC9377966	MED35979397
414	10.1155/2022/6543211	35979057	PMC9377957	MED35979057
415	10.1155/2022/7928344	35979007	PMC9377888	MED35979007
416	10.1155/2022/4025972	35966747	PMC9365585	MED35966747
417	10.1155/2022/3151090	35966737	PMC9365541	MED35966737
418	10.1155/2022/3089227	35966741	PMC9374560	MED35966741
419	10.1155/2022/4380735	36035836	PMC9410962	MED36035836
420	10.1155/2022/8509626	36035281	PMC9410928	MED36035281
421	10.4103/jcrt.jcrt_114_20	35381763		MED35381763
422	10.5650/jos.ess21317	35236798		MED35236798
423	10.2174/1389450123666220103185606	35048801		MED35048801
424	10.3233/tub-229002	36442172		MED36442172
425	10.1103/physreve.105.015302	35193306		MED35193306
426	10.1155/2022/9213877	35966241	PMC9371859	MED35966241
427	10.1155/2022/9125234	35965777	PMC9365577	MED35965777
428	10.1155/2022/7523673	35959351	PMC9359844	MED35959351
429	10.1155/2022/4080585	35968236	PMC9371867	MED35968236
430	10.1155/2022/2900378	35966739	PMC9371854	MED35966739
431	10.1155/2022/4797273	35965765	PMC9371834	MED35965765
432	10.1155/2022/2156424	35966726	PMC9365573	MED35966726
433	10.1155/2022/2682921	35965751	PMC9365537	MED35965751
434	10.1155/2022/4543467	36035824	PMC9410977	MED36035824
435	10.1155/2022/1399650	35966748	PMC9374554	MED35966748
436	10.1155/2022/1703339	35958935	PMC9357711	MED35958935
437	10.1155/2022/1148856	35958765	PMC9357755	MED35958765
438	10.1155/2022/6250751	35958908	PMC9357701	MED35958908
439	10.1155/2022/7594359	35958378	PMC9357698	MED35958378
440	10.1155/2022/5734876	35966250	PMC9365575	MED35966250
441	10.1155/2022/1601431	35958932	PMC9363183	MED35958932
442	10.3233/tub-229001	36442171		MED36442171
443	10.1111/ped.14901	34170585		MED34170585
444	10.1155/2022/5162845	35968234	PMC9371874	MED35968234
445	10.1155/2022/2566746	35966248	PMC9371864	MED35966248
446	10.1155/2022/7942727	35942382	PMC9356799	MED35942382
447	10.1155/2022/7238344	35942367	PMC9356803	MED35942367
448	10.1155/2022/1451881	35941974	PMC9356891	MED35941974
449	10.1155/2022/1592449	35992041	PMC9363930	MED35992041
450	10.1155/2022/4155113	35958931	PMC9363168	MED35958931
451	10.31083/j.fbe1401002	35320906		MED35320906
452	10.1093/sleep/zsab304	34971398		MED34971398
453	10.1016/j.arth.2021.12.029	34968649		MED34968649
454	10.1155/2022/4127293	35958912	PMC9359820	MED35958912
455	10.1155/2022/8601164	35958777	PMC9359822	MED35958777
456	10.1155/2022/9041551	35958906	PMC9359818	MED35958906
457	10.1155/2022/2541421	35958761	PMC9359834	MED35958761
458	10.1155/2022/4438251	35958812	PMC9357799	MED35958812
