pmid,doi
36277975,10.1155/2022/3071665
36277875,10.1155/2022/1645204
36267495,10.1177/20503121221126687
36277878,10.1155/2022/5823276
36299602,10.1155/2022/9252319
36285161,10.1155/2022/2061340
36277977,10.1155/2022/2549845
36277890,10.1155/2022/9899135
36276280,10.1155/2022/4537021
36275890,10.1155/2022/6264474
35266506,10.1093/bbb/zbac035
36277976,10.1155/2022/9204119
36276847,10.1155/2022/7667770
36285163,10.1155/2022/1257260
36277981,10.1155/2022/5249910
36277987,10.1155/2022/1815417
36276274,10.1155/2022/4272525
36267840,10.1155/2022/7489023
36277979,10.1155/2022/8640999
36267839,10.1155/2022/9896935
36267095,10.1155/2022/5133754
36254138,10.1155/2022/8975435
36254306,10.1155/2022/4805009
36262285,10.1155/2022/2435114
35358830,10.1016/j.scr.2022.102764
36248419,10.1155/2022/3444740
36248434,10.1155/2022/2295044
36254233,10.1155/2022/8441676
36262167,10.1155/2022/2384730
36254307,10.1155/2022/3949443
36246977,10.1155/2022/9190241
36246475,10.1155/2022/5922048
36246989,10.1155/2022/2711938
36226247,10.1155/2022/8721654
36279138,10.1001/jamanetworkopen.2022.35721
36225195,10.1155/2022/9211621
36348833,10.7759/cureus.29931
36248415,10.1155/2022/3709823
36248432,10.1155/2022/5477432
36225174,10.1155/2022/5719974
36246473,10.1155/2022/7962225
36212964,10.1155/2022/7918596
34742003,10.1016/j.oraloncology.2021.105615
36212723,10.1155/2022/7562990
36212952,10.1155/2022/1890823
36212178,10.1155/2022/3880687
36225756,10.1155/2022/4263002
36225191,10.1155/2022/5358923
36213027,10.1155/2022/4096566
36212711,10.1155/2022/4278048
36212173,10.1155/2022/9715704
36556132,10.3390/jcm11247511
36212971,10.1155/2022/6946051
36212946,10.1155/2022/5665921
36246970,10.1155/2022/3505228
36246555,10.1155/2022/4918294
36213026,10.1155/2022/9461377
36254046,10.1097/md.0000000000030136
36213025,10.1155/2022/8354429
36199553,10.1155/2022/1420639
36213036,10.1155/2022/6105804
36246960,10.1155/2022/6098799
36213010,10.1155/2022/3300449
36203502,10.1155/2022/8471976
35277301,10.1016/j.jhsa.2022.01.028
36200093,10.1155/2022/9755391
36200080,10.1155/2022/7903838
36212978,10.1155/2022/6202457
36193324,10.1155/2022/8418279
36193387,10.1155/2022/7605593
35174834,10.1039/d1nr05353a
36199549,10.1155/2022/4521003
36299945,10.7759/cureus.29455
36193130,10.1155/2022/5067402
36199773,10.1155/2022/4877708
36199755,10.1155/2022/5693994
36193155,10.1155/2022/7080678
36193058,10.1155/2022/9010354
36248404,10.1155/2022/4655939
35257748,10.1016/j.jbc.2022.101775
36193498,10.1155/2022/2191294
36193490,10.1155/2022/6847073
36177056,10.1155/2022/6997221
36125680,10.1007/s11356-022-23026-4
36193145,10.1155/2022/7312960
36157214,10.1155/2022/2380879
36193305,10.1155/2022/8365565
36159753,10.1155/2022/7469970
36164450,10.1155/2022/6974909
36159755,10.1155/2022/3704201
36164449,10.1155/2022/7232638
36159763,10.1155/2022/4710520
36148402,10.1155/2022/3859292
36159751,10.1155/2022/3343946
36099268,10.1371/journal.pone.0271107
36159767,10.1155/2022/8583924
36133163,10.1155/2022/8955326
36158890,10.1155/2022/1447388
36157240,10.1155/2022/3290479
36133436,10.1155/2022/9883831
36133171,10.1155/2022/8493528
36159757,10.1155/2022/3830522
36159766,10.1155/2022/3895555
36159761,10.1155/2022/3498622
36159570,10.1155/2022/4140022
36157205,10.1155/2022/6096326
35190954,10.1007/s13577-022-00680-x
36124243,10.1155/2022/7724675
36124071,10.1155/2022/4165839
36124251,10.1155/2022/4897660
36124246,10.1155/2022/8627822
36124166,10.1155/2022/4259499
36133160,10.1155/2022/7986850
36177154,10.1155/2022/7769653
36159769,10.1155/2022/4186092
36132545,10.1155/2022/7770955
36120155,10.1155/2022/4806045
36118668,10.1155/2022/6106503
36124170,10.1155/2022/8503239
36124013,10.1155/2022/6886590
36119920,10.1155/2022/8043674
36124174,10.1155/2022/8981618
36118082,10.1155/2022/5332101
36124247,10.1155/2022/5017227
36105518,10.1155/2022/3356772
36118839,10.1155/2022/1949344
36105931,10.1155/2022/1495807
36105516,10.1155/2022/1891937
36105481,10.1155/2022/5772509
36119922,10.1155/2022/2652916
36119929,10.1155/2022/3002353
35166995,10.1007/s11095-022-03169-2
36110574,10.1155/2022/4070060
36106030,10.1155/2022/3181133
36105935,10.1155/2022/8480106
36105510,10.1155/2022/6546357
36105484,10.1155/2022/3341038
35130775,10.1177/09544119221075941
36111167,10.1155/2022/3611540
36111062,10.1155/2022/2819029
36110572,10.1155/2022/4305886
36110192,10.1155/2022/4069778
36093392,10.1155/2022/4310841
36089968,10.1155/2022/7492655
36086694,10.1097/md.0000000000030281
37185864,10.1002/jmv.28726
36105512,10.1155/2022/8426460
36093394,10.1155/2022/3046554
36093408,10.1155/2022/5152911
36717766,10.1111/iwj.14101
36072470,10.1155/2022/5029663
36105451,10.1155/2022/9633527
36089960,10.1155/2022/4594090
36105549,10.1155/2022/9991523
36089949,10.1155/2022/3794354
35142183,10.7754/clin.lab.2021.210317
35020102,10.1007/s11010-022-04355-x
36105551,10.1155/2022/8319082
36181094,10.1097/md.0000000000030695
36065307,10.1155/2022/9350211
36065262,10.1155/2022/3640589
36072407,10.1155/2022/2536849
36090892,10.1155/2022/4948943
36089957,10.1155/2022/8935743
36089952,10.1155/2022/1074174
36089947,10.1155/2022/4798768
36060150,10.1155/2022/8145438
36105554,10.1155/2022/7738233
36072406,10.1155/2022/5750647
36082155,10.1155/2022/6790665
36065379,10.1155/2022/5666067
36065368,10.1155/2022/5613407
36065264,10.1155/2022/7341504
36062170,10.1155/2022/9751136
36072770,10.1155/2022/9300278
36072474,10.1155/2022/6254551
36052030,10.1155/2022/4540176
35121205,10.1016/j.nepr.2022.103303
36051495,10.1155/2022/8314838
36051478,10.1155/2022/9681769
36101523,10.1155/2022/7588680
35092479,10.1007/s00335-022-09944-1
36046442,10.1155/2022/8135282
36052351,10.1155/2022/8634134
36312713,10.1016/j.asmr.2022.06.017
36046079,10.1155/2022/6440464
36045946,10.1155/2022/1771617
36034615,10.1155/2022/7550792
35072845,10.1007/s11010-022-04367-7
36035845,10.1155/2022/8523763
36034965,10.1155/2022/2868135
36034960,10.1155/2022/1227308
36034945,10.1155/2022/4624912
36034940,10.1155/2022/1055160
36033578,10.1155/2022/8645183
36046438,10.1155/2022/6311419
36035816,10.1155/2022/9172719
34936187,10.1002/anie.202112400
36035853,10.1155/2022/4803072
36034968,10.1155/2022/8770996
36046456,10.1155/2022/4164824
36046451,10.1155/2022/7514898
36045971,10.1155/2022/6339184
36045948,10.1155/2022/5048172
34505667,10.1002/vetr.897
36017394,10.1155/2022/5861928
36017149,10.1155/2022/7904293
36016689,10.1155/2022/4087406
36034961,10.1155/2022/2604114
36017467,10.1155/2022/4543851
36017457,10.1155/2022/4580027
36017247,10.1155/2022/5436772
36017242,10.1155/2022/4670963
36017152,10.1155/2022/8490473
36035847,10.1155/2022/5622901
36034962,10.1155/2022/4160637
35981003,10.1371/journal.pone.0269739
36034942,10.1155/2022/2257304
35718436,10.1016/j.jebdp.2022.101691
36017466,10.1155/2022/3601545
36017456,10.1155/2022/2156128
36017451,10.1155/2022/5112537
36017391,10.1155/2022/9914173
36017381,10.1155/2022/2009894
36017246,10.1155/2022/3883459
36034944,10.1155/2022/6062450
36003831,10.2147/prbm.s371787
35980967,10.1371/journal.pone.0272717
35996646,10.1155/2022/1042533
36072629,10.1155/2022/4989248
35990856,10.1155/2022/3374091
36120283,10.7759/cureus.28036
36016688,10.1155/2022/7650937
36016678,10.1155/2022/1411371
35990851,10.1155/2022/8555417
35990551,10.1155/2022/5000501
36017027,10.1155/2022/8165950
35996402,10.1155/2022/8180013
35990166,10.1155/2022/8935906
35947632,10.1371/journal.pone.0272776
35990829,10.1155/2022/5483155
35991133,10.1155/2022/6976654
35263177,10.1089/jicm.2021.0254
35983006,10.1155/2022/2802828
35983250,10.1155/2022/9248972
35022977,10.1007/s11356-022-18575-7
35990853,10.1155/2022/2344946
35990112,10.1155/2022/8799586
36042982,10.1155/2022/2554581
35978998,10.1155/2022/5606697
35978647,10.1155/2022/1393177
35978643,10.1155/2022/8246761
35979011,10.1155/2022/5016967
35979006,10.1155/2022/5054511
35979001,10.1155/2022/8309505
35978641,10.1155/2022/6293095
35978626,10.1155/2022/9343951
35978591,10.1155/2022/2495024
35990828,10.1155/2022/2113856
35990820,10.1155/2022/4247782
35990133,10.1155/2022/9165744
35990840,10.1155/2022/7812218
35023019,10.1007/s12550-021-00448-6
34993788,10.1007/s11356-021-17917-1
36016670,10.1155/2022/2794225
35990538,10.1155/2022/3937375
35991150,10.1155/2022/6808648
35990850,10.1155/2022/7799111
35990835,10.1155/2022/7971976
35990821,10.1155/2022/4156312
35990125,10.1155/2022/9330699
35990116,10.1155/2022/2282870
35983252,10.1155/2022/2560053
35983008,10.1155/2022/7625739
36003077,10.1155/2022/8750394
36043149,10.1155/2022/2208636
35979055,10.1155/2022/6364769
35979010,10.1155/2022/4065886
35979000,10.1155/2022/6836966
35978905,10.1155/2022/2371549
35974873,10.2147/ijn.s375908
36051255,10.1155/2022/2158181
36034625,10.1155/2022/8112175
35966749,10.1155/2022/3771144
35979009,10.1155/2022/9676074
35978999,10.1155/2022/7237777
35978994,10.1155/2022/3362374
35978889,10.1155/2022/8490760
35966742,10.1155/2022/1434410
35983005,10.1155/2022/1213133
35982995,10.1155/2022/4641600
35982735,10.1155/2022/2775433
35966724,10.1155/2022/9371497
35968243,10.1155/2022/2337447
35968238,10.1155/2022/2550686
35966252,10.1155/2022/9190292
35965767,10.1155/2022/5228603
36042981,10.1155/2022/2931686
35979397,10.1155/2022/8619275
35979057,10.1155/2022/6543211
35979007,10.1155/2022/7928344
35966747,10.1155/2022/4025972
35966737,10.1155/2022/3151090
35966741,10.1155/2022/3089227
35381763,10.4103/jcrt.jcrt_114_20
35236798,10.5650/jos.ess21317
35048801,10.2174/1389450123666220103185606
36035836,10.1155/2022/4380735
36035281,10.1155/2022/8509626
36442172,10.3233/tub-229002
35193306,10.1103/physreve.105.015302
35966241,10.1155/2022/9213877
35968236,10.1155/2022/4080585
35966739,10.1155/2022/2900378
35965765,10.1155/2022/4797273
35965777,10.1155/2022/9125234
35959351,10.1155/2022/7523673
35966726,10.1155/2022/2156424
35965751,10.1155/2022/2682921
36035824,10.1155/2022/4543467
35966748,10.1155/2022/1399650
35958935,10.1155/2022/1703339
35958765,10.1155/2022/1148856
35966250,10.1155/2022/5734876
35958908,10.1155/2022/6250751
35958378,10.1155/2022/7594359
35958932,10.1155/2022/1601431
36442171,10.3233/tub-229001
34170585,10.1111/ped.14901
35968234,10.1155/2022/5162845
35966248,10.1155/2022/2566746
35942382,10.1155/2022/7942727
35942367,10.1155/2022/7238344
35992041,10.1155/2022/1592449
35958931,10.1155/2022/4155113
35941974,10.1155/2022/1451881
35320906,10.31083/j.fbe1401002
34968649,10.1016/j.arth.2021.12.029
34971398,10.1093/sleep/zsab304
35958912,10.1155/2022/4127293
35958777,10.1155/2022/8601164
35958906,10.1155/2022/9041551
35958761,10.1155/2022/2541421
35958812,10.1155/2022/4438251
35958382,10.1155/2022/7709053
35958377,10.1155/2022/6322272
35958919,10.1155/2022/6956406
35958814,10.1155/2022/6871623
35236797,10.5650/jos.ess21327
35937398,10.1155/2022/5027024
35958936,10.1155/2022/1732214
35958926,10.1155/2022/5020960
35958786,10.1155/2022/2151682
35937391,10.1155/2022/2056913
35941968,10.1155/2022/7848771
35958774,10.1155/2022/4667010
35942458,10.1155/2022/7397186
35942148,10.1155/2022/5749359
35968422,10.3389/fpubh.2022.966628
34974500,10.1249/mss.0000000000002851
35928970,10.1155/2022/5873479
35936219,10.1155/2022/7671324
35936360,10.1155/2022/4449696
34950994,10.1208/s12249-021-02199-0
35942451,10.1155/2022/4258577
35062071,10.1016/j.biopha.2021.112608
35950088,10.1155/2022/7027007
35928916,10.1155/2022/9687345
35915805,10.1155/2022/3156093
35950087,10.1155/2022/3330427
35924263,10.1155/2022/3211144
35910758,10.1155/2022/4943413
35911133,10.1155/2022/1287910
35909473,10.1155/2022/5260231
35861409,10.1002/advs.202203058
36483921,10.1155/2022/3628335
35959152,10.1155/2022/1908644
35912142,10.1155/2022/2025756
35911130,10.1155/2022/2430806
35911136,10.1155/2022/1323321
35909871,10.1155/2022/1310462
35909826,10.1155/2022/8426044
35903437,10.1155/2022/7781686
35937669,10.1155/2022/1199210
35911165,10.1155/2022/6247824
35909875,10.1155/2022/4807953
35915789,10.1155/2022/7833516
34921333,10.1007/s10661-021-09675-x
35911139,10.1155/2022/6813756
35909494,10.1155/2022/1569084
35909474,10.1155/2022/9777817
35018364,10.1089/neur.2021.0047
35911160,10.1155/2022/9387484
35909850,10.1155/2022/9122881
35936091,10.3389/fchem.2022.957051
35911144,10.1155/2022/6916302
35910754,10.1155/2022/6884273
35911145,10.1155/2022/5132135
34922903,10.1016/j.cbi.2021.109760
35911147,10.1155/2022/3732243
35910752,10.1155/2022/9631782
35909872,10.1155/2022/5845818
35909477,10.1155/2022/3261213
35911159,10.1155/2022/7010492
34929478,10.1016/j.intimp.2021.108414
35899226,10.1155/2022/1175935
35274322,10.1002/bmc.5364
35937672,10.1155/2022/8621103
35911137,10.1155/2022/4237558
35910757,10.1155/2022/1211499
35909467,10.1155/2022/7191178
35873621,10.1155/2022/1995472
35872956,10.1155/2022/8103198
35898789,10.1155/2022/8723327
35898779,10.1155/2022/2572372
35898479,10.1155/2022/4487864
35903438,10.1155/2022/4593637
35836219,10.1186/s12893-022-01720-x
35875746,10.1155/2022/9026017
35898787,10.1155/2022/7400797
35898782,10.1155/2022/4942637
35873648,10.1155/2022/8250655
35872958,10.1155/2022/5985375
35847163,10.7759/cureus.26819
35880108,10.1155/2022/3252718
35836356,10.12659/msm.936760
35865497,10.1155/2022/1120491
35865341,10.1155/2022/6015766
35865344,10.1155/2022/1925668
35865339,10.1155/2022/7730474
35872944,10.1155/2022/8030243
35860188,10.1155/2022/5927384
36845635,10.1155/2023/1816818
35860795,10.1155/2022/4090235
35860181,10.1155/2022/5363754
35860001,10.1155/2022/2088217
35875739,10.1155/2022/4378173
35873629,10.1155/2022/7687437
35872929,10.1155/2022/7933166
35872859,10.1155/2022/6539917
35872875,10.1155/2022/1041688
35912121,10.1155/2022/1016628
35872947,10.1155/2022/9052770
35866040,10.1155/2022/7518109
35873622,10.1155/2022/3586290
35872932,10.1155/2022/9880038
35855789,10.1155/2022/2838935
35898916,10.3389/fmicb.2022.952321
35845590,10.1155/2022/6041827
35845585,10.1155/2022/2363877
35845580,10.1155/2022/3541931
35845888,10.1155/2022/1862911
35845603,10.1155/2022/3150670
35860797,10.1155/2022/4801703
35860639,10.1155/2022/4971849
35860184,10.1155/2022/4651364
35845091,10.2147/jir.s351913
35845575,10.1155/2022/1643434
33693583,10.1093/jxb/erab107
33620276,10.1080/21691401.2021.1889574
35845923,10.1155/2022/3862122
35845573,10.1155/2022/6967655
35844453,10.1155/2022/3425873
35844443,10.1155/2022/3654181
34925408,10.3389/fpls.2021.758424
33675665,10.1093/cid/ciab204
35855835,10.1155/2022/5447509
34520386,10.1212/wnl.0000000000012086
35860637,10.1155/2022/8008796
35860002,10.1155/2022/7794819
35859997,10.1155/2022/3729995
35859662,10.1155/2022/5280792
35859577,10.1155/2022/4126217
35845595,10.1155/2022/7774283
35874136,10.3389/fsurg.2022.948666
35845593,10.1155/2022/1004816
35855824,10.1155/2022/1183436
35855819,10.1155/2022/7906341
35855799,10.1155/2022/2568690
35845587,10.1155/2022/3660110
35836919,10.1155/2022/8735363
35837207,10.1155/2022/9728536
35845927,10.1155/2022/9449497
34851496,10.1208/s12249-021-02157-w
33666541,10.1080/21691401.2021.1890100
35855827,10.1155/2022/7646361
35832516,10.1155/2022/1857055
35832241,10.1155/2022/6216232
35832129,10.1155/2022/6840716
35845601,10.1155/2022/4217131
34930770,10.1503/cmaj.80742
35844444,10.1155/2022/8801484
35845576,10.1155/2022/5754922
35844441,10.1155/2022/4982047
36247535,10.3389/fpls.2022.970941
35836831,10.1155/2022/7706172
35836826,10.1155/2022/6964127
35845909,10.1155/2022/7952259
35798787,10.1038/s41598-022-15685-7
35818443,10.1155/2022/9943598
35016437,10.21037/apm-21-3635
35836920,10.1155/2022/5110683
35832853,10.1155/2022/7378953
35832523,10.1155/2022/8763304
35832133,10.1155/2022/4940946
35832128,10.1155/2022/9855770
35844454,10.1155/2022/3809792
35815285,10.1155/2022/1850033
35961155,10.1016/j.jaim.2022.100621
35844939,10.1155/2022/6045597
35836923,10.1155/2022/5629763
35836828,10.1155/2022/8929418
35815280,10.1155/2022/7807956
35815265,10.1155/2022/1889628
35813229,10.1155/2022/9018379
36199753,10.1155/2022/4589191
35832525,10.1155/2022/1681038
35815250,10.1155/2022/4505345
35800008,10.1155/2022/4841205
35799648,10.1155/2022/8040487
35799641,10.1155/2022/1541385
35795752,10.1155/2022/3924013
35833059,10.1155/2022/5851658
35815286,10.1155/2022/8305561
34791915,10.1177/09603271211052985
35815276,10.1155/2022/9465095
35815266,10.1155/2022/7775556
35815246,10.1155/2022/3085446
35813430,10.1155/2022/7809485
35800015,10.1155/2022/9987891
35800010,10.1155/2022/1294416
35799670,10.1155/2022/5213016
35832300,10.1155/2022/9661506
35795277,10.1155/2022/9192655
35783245,10.2147/jir.s357082
35845741,10.1155/2022/4773179
35800009,10.1155/2022/9208478
35799634,10.1155/2022/6096688
35795274,10.1155/2022/1127159
34784831,10.1177/09603271211052989
35814543,10.1155/2022/4921211
35813438,10.1155/2022/9628213
35813428,10.1155/2022/7134161
35800042,10.1016/j.ijcha.2022.101073
35785095,10.1155/2022/4658975
34775900,10.1080/08923973.2021.2001498
35799652,10.1155/2022/8036763
35799637,10.1155/2022/8114073
35795268,10.1155/2022/7144037
35795269,10.1155/2022/9466665
35795746,10.1155/2022/2823314
35795281,10.1155/2022/8120458
35845735,10.1155/2022/9374774
35844265,10.1155/2022/4105169
34797187,10.1177/09603271211058063
35836707,10.14740/gr1490
35774752,10.1155/2022/5949760
35774747,10.1155/2022/1485033
35774302,10.1155/2022/6843196
34773182,10.1007/s11095-021-03128-3
35774745,10.1155/2022/8616075
35774190,10.1155/2022/5396135
36249976,10.1002/fsn3.2954
35832301,10.1155/2022/8428963
35769157,10.1155/2022/5120967
35783516,10.1155/2022/1177961
34751842,10.1007/s10493-021-00671-x
35774754,10.1155/2022/4447484
35833070,10.1155/2022/4805300
35833060,10.1155/2022/7671169
35782074,10.1155/2022/1869922
35769281,10.1155/2022/7066759
35769161,10.1155/2022/4655293
34129269,10.1111/ceo.13961
35822164,10.1155/2022/4766252
35783504,10.1155/2022/9115639
35033815,10.1016/j.bioorg.2021.105488
35755727,10.1155/2022/5148879
35770115,10.1155/2022/9633416
36147644,10.1155/2022/1144888
35756424,10.1155/2022/5492943
35774751,10.1155/2022/4677795
35774746,10.1155/2022/1673453
35733417,10.2147/ijn.s367121
35761859,10.1155/2022/5880595
35756414,10.1155/2022/9403693
35756416,10.1155/2022/1002624
35903264,10.3389/fsurg.2022.946963
35747716,10.1155/2022/6545834
35747376,10.1155/2022/7103496
35747374,10.1155/2022/9692382
35756411,10.1155/2022/2859567
35734774,10.1155/2022/9430708
35698107,10.1186/s12906-022-03629-7
35761841,10.1155/2022/5430720
35761836,10.1155/2022/3864863
35822160,10.1155/2022/7531190
34763086,10.1016/j.ymthe.2021.11.003
35756421,10.1155/2022/7754931
35706038,10.1186/s13098-022-00855-4
35747378,10.1155/2022/8495452
35822163,10.1155/2022/8174310
35755768,10.1155/2022/5607358
35832764,10.7759/cureus.25857
35811761,10.1155/2022/5038918
34877837,10.25259/ijdvl_594_2021
35733566,10.1155/2022/5358059
35720893,10.1155/2022/5558011
35734780,10.1155/2022/8696084
34731694,10.1016/j.hrtlng.2021.07.005
35800208,10.1155/2022/4870548
35722160,10.1155/2022/1249779
35720023,10.1155/2022/4525873
35720908,10.1155/2022/1355254
34719823,10.1002/jbt.22937
35720922,10.1155/2022/4748628
35720032,10.1155/2022/4600145
35711498,10.1155/2022/4542815
35722142,10.1155/2022/7223632
35707482,10.1155/2022/8097035
35707472,10.1155/2022/9270045
35707197,10.1155/2022/8904341
35722161,10.1155/2022/5630487
35720909,10.1155/2022/4667689
35722141,10.1155/2022/4417790
35711500,10.1155/2022/5161562
29927639,10.1259/bjr.20170942
35720889,10.1155/2022/4648112
35720029,10.1155/2022/3116303
35707469,10.1155/2022/3419966
35692592,10.1155/2022/5423929
35722144,10.1155/2022/8410664
35800209,10.1155/2022/1200860
35666074,10.1002/advs.202202550
34763313,10.1016/j.phymed.2021.153822
36082153,10.1155/2022/4632453
35692697,10.1155/2022/4883989
35800207,10.1155/2022/5444552
35707706,10.1155/2022/6404837
35707201,10.1155/2022/8367155
34661812,10.1007/s11011-021-00852-y
35685723,10.1155/2022/8663645
35685731,10.1155/2022/7121900
35685165,10.1155/2022/9727415
35694583,10.1155/2022/1714041
35688104,10.1016/j.ctarc.2022.100582
35650651,10.1186/s40834-022-00175-y
36060872,10.1155/2022/1663120
35360806,10.4103/jfmpc.jfmpc_2071_21
34665305,10.1007/s00335-021-09920-1
35732596,10.1093/femspd/ftac017
35693259,10.1155/2022/5936773
35677370,10.1155/2022/2600755
35692571,10.1155/2022/5465472
35657175,10.4274/tjh.galenos.2022.2022.0117
35692699,10.1155/2022/2366871
35685144,10.1155/2022/1198581
35686157,10.1155/2022/4728921
35669373,10.1155/2022/2011625
35677367,10.1155/2022/9878482
35669667,10.1155/2022/4288729
35669370,10.1155/2022/5975054
35669365,10.1155/2022/7722951
35668774,10.1155/2022/1127095
34787074,10.1080/21655979.2021.1997564
34668089,10.1208/s12249-021-02111-w
35677854,10.1155/2022/8381819
35677376,10.1155/2022/1974131
35677371,10.1155/2022/4049076
35677197,10.1155/2022/2970496
35664942,10.1155/2022/1787312
35664642,10.1155/2022/8005975
35677381,10.1155/2022/7029570
35669674,10.1155/2022/3141451
35664947,10.1155/2022/8013787
35664937,10.1155/2022/5606343
34632534,10.1007/s00335-021-09923-y
33994538,10.12659/msm.933088
35686155,10.1155/2022/2663604
35669366,10.1155/2022/8993144
35795617,10.1155/2022/4884646
35668773,10.1155/2022/2268591
35795615,10.1155/2022/3627385
35656470,10.1155/2022/4182853
35664425,10.1155/2022/8122568
35669651,10.1155/2022/7356477
34645609,10.1158/0008-5472.can-21-1825
35665285,10.1155/2022/5203066
35656474,10.1155/2022/4607735
35656464,10.1155/2022/8809708
36035295,10.1155/2022/4463294
35617376,10.1371/journal.pone.0268658
35656473,10.1155/2022/3803818
35656468,10.1155/2022/4548922
34609224,10.1177/01461672211047016
35795614,10.1155/2022/4368871
34555823,10.1088/1748-605x/ac2995
35613105,10.1371/journal.pone.0263289
35655478,10.1155/2022/1201129
35651922,10.1155/2022/4835417
36033580,10.1155/2022/2102795
36440763,10.1093/nar/gkac1167
35662705,10.3389/fphar.2022.874696
35634053,10.1155/2022/4844565
35651729,10.1155/2022/5687238
35655715,10.1155/2022/4606139
35634176,10.1155/2022/1288233
33876502,10.1113/ep089254
35620734,10.1155/2022/4657628
35634039,10.1155/2022/1500339
34608530,10.1007/s00381-021-05381-8
35615549,10.1155/2022/6154233
35104150,10.1091/mbc.e20-07-0445-editor
35646136,10.1155/2022/4205015
35634054,10.1155/2022/5740181
35633929,10.1155/2022/7218666
35633920,10.1155/2022/6282167
34431992,10.1093/carcin/bgab073
